Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth,10,0,900.0,1106.4419111999998,719.3757299999994,2064.8177709999977,576.0,0.02309292120917633,0.0,950,1100,1200,1600,2100,2100,2100,2100,2100,2100,2100
GET,/company/time-offs,74,0,1500.0,1647.896664918921,737.003867999988,3464.907290000003,40356.18918918919,0.17088761694790486,0.0,1500,1700,1900,2100,2700,2900,3000,3500,3500,3500,3500
POST,/company/time-offs,163,1,830.0,912.3129882576693,454.0457559999993,3907.8716209999698,914.7484662576687,0.37641461570957424,0.0023092921209176332,830,900,960,1000,1300,1300,1800,2600,3900,3900,3900
GET,/employees,29,0,31000.0,30464.721975413795,20954.799231999972,48908.30617600001,1431409.3103448276,0.06696947150661137,0.0,31000,33000,34000,34000,35000,36000,49000,49000,49000,49000,49000
PATCH,/employees,134,0,1700.0,1980.2879590746281,1119.6782589999827,4916.094548999979,48.0,0.3094451442029629,0.0,1700,1800,2000,2400,3400,3800,4000,4000,4900,4900,4900
GET,/employees/custom-attributes,52,0,630.0,683.3575539615397,429.50515799998357,1202.596074999974,5767.0,0.12008319028771693,0.0,630,700,810,850,940,1100,1100,1200,1200,1200,1200
GET,/employees/employee_id,253,0,640.0,711.250185126481,387.11684500003685,2931.908675000017,7536.252964426877,0.5842509065921613,0.0,640,710,770,810,1000,1200,1500,1600,2900,2900,2900
GET,/employees/employee_id/absences/balance,292,0,470.0,541.6047174041099,338.4351020000054,2212.4863270000005,360.92808219178085,0.6743132993079489,0.0,470,540,590,620,750,970,1100,1500,2200,2200,2200
,Aggregated,1007,1,720.0,1791.6393051936434,338.4351020000054,48908.30617600001,46643.963257199604,2.325457165764057,0.0023092921209176332,720,930,1200,1400,1800,3100,27000,33000,36000,49000,49000
